replication_id,scenario_id,replication_seed,metric,N_value,S_value,F_value,S_minus_N,F_minus_S,F_minus_N
3,c8bc873cc8d7bf0e,2269397296339111156,waste_rate,0.03061196884518698,0.059074911946925025,0.03589494396711442,0.028462943101738046,-0.023179967979810603,0.005282975121927443
4,b53d2acad52e10d3,2106283565805583909,waste_rate,0.03807752658514065,0.06805128825700915,0.041678453004743946,0.0299737616718685,-0.026372835252265206,0.003600926419603294
5,4c823eaf9c10986c,9494189234043139157,waste_rate,0.032553061944195244,0.06589483053910004,0.03575598014292828,0.0333417685949048,-0.030138850396171764,0.003202918198733036
6,0c4d8050dcfc561f,9175908689249402304,waste_rate,0.028173612881061877,0.058095098650158696,0.03389676103785915,0.02992148576909682,-0.024198337612299545,0.005723148156797274
7,b93c197452127748,18411039279325525482,waste_rate,0.032814759833980016,0.06313253889151571,0.036144713741858375,0.030317779057535695,-0.026987825149657335,0.0033299539078783594
8,f3d93e6376548f3d,17412653627742288767,waste_rate,0.02941590211194125,0.059579047563172706,0.03702166420202921,0.030163145451231457,-0.022557383361143497,0.00760576209008796
9,1b6a15e02bc2dfd9,14360288428696390321,waste_rate,0.032950134481946614,0.05936295130810971,0.03574577497797926,0.026412816826163095,-0.023617176330130447,0.0027956404960326475
10,7c362520b9d279d5,707028829783831254,waste_rate,0.02400192696938464,0.05128100238201562,0.03084724459121883,0.02727907541263098,-0.02043375779079679,0.006845317621834192
11,b3f61c340012ae31,2249076315507157767,waste_rate,0.02740870442010359,0.05540876169536622,0.03223236881900256,0.028000057275262627,-0.02317639287636366,0.004823664398898968
12,4d910d2eda1b7bc4,3215586943839124654,waste_rate,0.030606705535942334,0.06319354650937199,0.037512633462667005,0.03258684097342966,-0.025680913046704987,0.006905927926724672
13,1de37aa7f125f9c2,7848416998020336102,waste_rate,0.034383809030308986,0.059520870982258084,0.03971442017478934,0.025137061951949098,-0.01980645080746874,0.005330611144480357
